# nc -l cat /system/xbin/unzip 12345	, on server, Size of unzip is 197952 Byte
# nc 112.26.0.1 12345 > /data/unzip	, on client

# Improved-MPTCP-MDR	34.74 42.12 39.25 35.67 49.23 32.05 46.19 37.53 40.58 33.39 divide 197952 Byte
#			5698  4700  5043  5550  4021  6176  4286  5275  4878  5928					(KB/s)
#			34.74+42.12+39.25+35.67+49.23+32.05+46.19+37.53+40.58+33.39 = 390.75,	197952÷39.075 = 5065.95	(KB/s)

# MPTCP-MDR		60.23 55.07 63.21 61.99 53.37 57.96 51.81 48.92 59.72 48.53 divide 197952 Byte
#			3287  3595  3132  3193  3709  3415  3821  4046  3315  4079					(KB/s)
#			60.23+55.07+63.21+61.99+53.37+57.96+51.81+48.92+59.72+48.53 = 560.81,	197952÷56.081 = 3529.75	(KB/s)

# TCP-MDR		44.75 56.56 59.17 42.47 48.56 51.31 47.92 53.01 45.87 50.22 divide 197952 Byte
#			4424  3500  3345  4661  4076  3858  4131  3734  4316  3942					(KB/s)
#			44.75+56.56+59.17+42.47+48.56+51.31+47.92+53.01+45.87+50.22 = 499.84,	197952÷49.984 = 3960.31	(KB/s)


#matrix		TCP-MDR		MPTCP-MDR	Improved-MPTCP-MDR (KB/S)
1		4.424		3.287		5.698
2		3.500		3.595		4.700
3		3.345		3.132		5.043
4		4.661		3.193		5.550
5		4.076		3.709		4.021
6		3.858		3.415		6.176
7		4.131		3.821		4.286
8		3.734		4.046		5.275
9		4.316		3.315		4.878
10		3.942		4.079		5.928
